"mult","alpha","VG","expectation","thresh","totalP","Pdetected","Pnotdetected
"
0.5,0.002,0.101,0.04239104291206028,0.3987347671080981,0.3061332441516299,0.010282130136665802,0.2958511140149638
0.5,0.002,0.0101,0.04239104291206028,0.3987347671080981,0.33228533256360615,0.013716883340049635,0.3185684492235561
0.5,0.002,0.00101,0.04239104291206028,0.3987347671080981,0.35775220122471557,0.02244609945551029,0.3353061017692046
1,0.002,0.101,0.08478208582412056,0.470244311748571,0.5236664840302588,0.01035162691492546,0.5133148571153329
1,0.002,0.0101,0.08478208582412056,0.470244311748571,0.5586783791425078,0.014462949391295348,0.544215429751212
1,0.002,0.00101,0.08478208582412056,0.470244311748571,0.5918532338912562,0.02498955923597589,0.5668636746552794
1.5,0.002,0.101,0.12717312873618083,0.5094894627840756,0.6766594594431417,0.01040252442953134,0.6662569350136098
1.5,0.002,0.0101,0.12717312873618083,0.5094894627840756,0.7113599261395874,0.01493036688848222,0.6964295592511048
1.5,0.002,0.00101,0.12717312873618083,0.5094894627840756,0.7435483200187617,0.02640827907660245,0.7171400409421593
2,0.002,0.101,0.1695641716482411,0.5329627068076611,0.7829874547616568,0.010440653530038643,0.7725468012316178
2,0.002,0.0101,0.1695641716482411,0.5329627068076611,0.8131147932736691,0.015229350086929142,0.7978854431867397
2,0.002,0.00101,0.1695641716482411,0.5329627068076611,0.8407959311290408,0.02719039324814748,0.8136055378808941
3,0.002,0.101,0.25434625747236167,0.5511866211718315,0.9047286154507777,0.010479458956069512,0.894249156494708
3,0.002,0.0101,0.25434625747236167,0.5511866211718315,0.9229411731073374,0.015464517732185084,0.9074766553751523
3,0.002,0.00101,0.25434625747236167,0.5511866211718315,0.9407974404460885,0.027460003321151026,0.9133374371249368
