"mult","alpha","VG","expectation","thresh","totalP","Pdetected","Pnotdetected
"
0.5,0.00025,0.00101,0.04341262031690329,0.40119989781587423,0.3145604834807243,0.01113085613449839,0.3034296273462256
1,0.00025,0.00101,0.08682524063380657,0.47265134697707667,0.5355201863365803,0.011295130219907952,0.524225056116672
1.5,0.00025,0.00101,0.13023786095070986,0.511622553607598,0.6891079965401343,0.011380978937013592,0.6777270176031204
2,0.00025,0.00101,0.17365048126761315,0.5346233023679547,0.7946574878199246,0.011426152268720766,0.7832313355512038
3,0.00025,0.00101,0.2604757219014197,0.5513595687663444,0.9142265662934518,0.011438869260246398,0.9027876970332055
0.5,0.0005,0.00101,0.04336347307316905,0.40108262269627976,0.3212682815971666,0.012369144789914997,0.30889913680725123
1,0.0005,0.00101,0.0867269461463381,0.47253703019855425,0.5445437606146251,0.012732331737620168,0.5318114288770044
1.5,0.0005,0.00101,0.13009041921950715,0.5115217039436334,0.6980987077194214,0.01292391243659149,0.6851747952828293
2,0.0005,0.00101,0.1734538922926762,0.5345455389652216,0.8025114181758929,0.013025224427652337,0.7894861937482405
3,0.0005,0.00101,0.2601808384390143,0.5513543736175323,0.9190406813112488,0.013053775838787722,0.9059869054724611
0.5,0.00075,0.00101,0.04328167259155361,0.40088713854018676,0.3278157912355065,0.013721895201275851,0.31409389603423044
1,0.00075,0.00101,0.08656334518310722,0.4723464330681145,0.5532545489128669,0.014322962086418515,0.5389315868264479
1.5,0.00075,0.00101,0.12984501777466084,0.5113534570623253,0.7066816842458656,0.014642996627098653,0.6920386876187667
2,0.00075,0.00101,0.17312669036621445,0.5344156373998818,0.8099255080925177,0.014813178086403823,0.7951123300061137
3,0.00075,0.00101,0.2596900355493217,0.5513450300688763,0.9234799352919667,0.01486169410677991,0.9086182411851864
0.5,0.001,0.00101,0.04316738607509728,0.40061340732767253,0.3341912494249572,0.015196156059068362,0.31899509336588855
1,0.001,0.00101,0.08633477215019456,0.47207945276946145,0.5616440820629448,0.016078660573824125,0.5455654214891204
1.5,0.001,0.00101,0.12950215822529182,0.5111175683849524,0.7148579172285523,0.016552946253630497,0.6983049709749215
2,0.001,0.00101,0.1726695443003891,0.5342331562520642,0.8169106432580077,0.016806697354098833,0.8001039459039085
3,0.001,0.00101,0.25900431645058364,0.5513305160395944,0.927566478297344,0.016880617571995184,0.910685860725349
0.5,0.002,0.00101,0.04239104291206028,0.3987347671080981,0.3577522012247154,0.022446099455510127,0.3353061017692046
1,0.002,0.00101,0.08478208582412056,0.470244311748571,0.5918532338912559,0.024989559235975557,0.5668636746552794
1.5,0.002,0.00101,0.12717312873618083,0.5094894627840756,0.7435483200187613,0.02640827907660208,0.7171400409421597
2,0.002,0.00101,0.1695641716482411,0.5329627068076611,0.8407959311290408,0.027190393248146927,0.8136055378808943
3,0.002,0.00101,0.25434625747236167,0.5511866211718315,0.9407974404460887,0.02746000332115063,0.9133374371249371
0.5,0.005,0.00101,0.03730710582313622,0.38552074925476615,0.40499390290530246,0.05991567712645656,0.3450782257788456
1,0.005,0.00101,0.07461421164627244,0.4572181746244049,0.6484190074487058,0.07541029013785193,0.5730087173108539
1.5,0.005,0.00101,0.11192131746940866,0.49763665035917165,0.793713901904017,0.08499229781482863,0.7087216040891883
2,0.005,0.00101,0.14922842329254488,0.5232268217300129,0.8797752978168183,0.09098690033327407,0.7887883974835437
3,0.005,0.00101,0.22384263493881731,0.5482122286125559,0.9592032075527213,0.09518290437829366,0.8640203031744338
