"start","alpha","VG","expectation","thresh","totalP","Pdetected","Pnotdetected
"
0.05,0.00025,0.00101,0.05,0.4158357062360975,0.3533729086521152,0.011164596386589625,0.34220831226552517
0.1,0.00025,0.00101,0.1,0.486735655983711,0.5882459052491054,0.011326818908108978,0.5769190863409963
0.15,0.00025,0.00101,0.15,0.5236439425983217,0.7421584292598604,0.011405570703815714,0.7307528585560447
0.2,0.00025,0.00101,0.2,0.5432308901459652,0.8414552686497982,0.011439517255109525,0.8300157513946886
0.25,0.00025,0.00101,0.25,0.5509804238961329,0.9043968904989866,0.011441785073111142,0.8929551054258753
0.05,0.0005,0.00101,0.05,0.4158357062360975,0.36098236611289714,0.01244397522748,0.3485383908854167
0.1,0.0005,0.00101,0.1,0.486735655983711,0.597867175255348,0.012803457653437652,0.5850637176019101
0.15,0.0005,0.00101,0.15,0.5236439425983217,0.7511289149868888,0.012979426604508739,0.7381494883823798
0.2,0.0005,0.00101,0.2,0.5432308901459652,0.8487497523176138,0.013055434449575801,0.8356943178680379
0.25,0.0005,0.00101,0.25,0.5509804238961329,0.9098347911912026,0.01306019897249428,0.8967745922187086
0.05,0.00075,0.00101,0.05,0.4158357062360975,0.36863757247673884,0.013846790269971973,0.35479078220676663
0.1,0.00075,0.00101,0.1,0.486735655983711,0.6074273559410035,0.014443067358950706,0.5929842885820524
0.15,0.00075,0.00101,0.15,0.5236439425983217,0.7599328873357782,0.014737283772465961,0.7451956035633122
0.2,0.00075,0.00101,0.2,0.5432308901459652,0.8558201407549562,0.01486459617287908,0.8409555445820767
0.25,0.00075,0.00101,0.25,0.5509804238961329,0.9150381112323066,0.014872028374006235,0.9001660828582998
0.05,0.001,0.00101,0.05,0.4158357062360975,0.3763348791904318,0.015382039681434947,0.3609528395089966
0.1,0.001,0.00101,0.1,0.486735655983711,0.6169201867711696,0.016259460518829053,0.6006607262523403
0.15,0.001,0.00101,0.15,0.5236439425983217,0.76856577539401,0.016695713423903934,0.7518700619701056
0.2,0.001,0.00101,0.2,0.5432308901459652,0.862665839907605,0.016884780655737258,0.8457810592518673
0.25,0.001,0.00101,0.25,0.5509804238961329,0.9200100605486291,0.01689496623035121,0.9031150943182777
0.05,0.002,0.00101,0.05,0.4158357062360975,0.40747041551817254,0.02303815836007843,0.3844322571580932
0.1,0.002,0.00101,0.1,0.486735655983711,0.6540981729853259,0.02559045920906839,0.6285077137762572
0.15,0.002,0.00101,0.15,0.5236439425983217,0.8013085356013555,0.026894308044598615,0.7744142275567576
0.2,0.002,0.00101,0.2,0.5432308901459652,0.8878053833324899,0.02746150606629975,0.8603438772661903
0.25,0.002,0.00101,0.25,0.5509804238961329,0.9376590018933141,0.0274806566383719,0.9101783452549415
0.05,0.005,0.00101,0.05,0.4158357062360975,0.502125601709173,0.06616416982196348,0.4359614318872092
0.1,0.005,0.00101,0.1,0.486735655983711,0.7552082644373599,0.08238231707079147,0.6728259473665684
0.15,0.005,0.00101,0.15,0.5236439425983217,0.8811172867354234,0.09107999866583248,0.7900372880695905
0.2,0.005,0.00101,0.2,0.5432308901459652,0.9426029985212565,0.09482641266952607,0.847776585851731
0.25,0.005,0.00101,0.25,0.5509804238961329,0.9714578513223848,0.0946393454987808,0.8768185058236214
