scenario,gen,mean_pheno,var_pheno,mean_fit
both,1.0,-2.9999999999999997e-05,4.990999999999998e-07,0.9999997500062497
both,2.0,-3.5e-05,8.487749999999999e-07,0.9999995750106248
both,3.0,-1.4999999999999995e-05,9.497749999999997e-07,0.9999995250118747
both,4.0,3.5e-05,1.348775e-06,0.9999993250168747
both,5.0,4.9999999999999996e-05,1.6975e-06,0.999999150028749
both,6.0,0.000105,2.638975000000001e-06,0.9999986750556226
both,7.0,4.4999999999999996e-05,2.747975e-06,0.9999986250493732
both,8.0,5e-05,3.4974999999999995e-06,0.999998250058748
both,9.0,0.00011499999999999999,4.236775e-06,0.9999978750756222
both,10.0,0.000175,4.219374999999998e-06,0.9999978750756222
both,11.0,0.000135,3.831774999999999e-06,0.9999980750481242
both,12.0,0.00017999999999999998,3.767600000000001e-06,0.9999981000549986
both,13.0,0.000175,4.719375e-06,0.9999976251043665
both,14.0,7.500000000000001e-05,5.144374999999999e-06,0.9999974250643738
both,15.0,-5.000000000000005e-06,5.4499749999999994e-06,0.9999972750756233
both,16.0,-2.000000000000001e-05,5.499600000000001e-06,0.9999972500687488
both,17.0,-0.00010499999999999999,6.038975000000002e-06,0.9999969750756237
both,18.0,-6.500000000000001e-05,6.545775000000001e-06,0.9999967250968724
both,19.0,3e-05,7.899099999999999e-06,0.999996050113747
both,20.0,6.500000000000001e-05,7.845775e-06,0.999996075113122
both,21.0,8.5e-05,8.842775000000001e-06,0.9999955751256219
both,22.0,0.000115,1.0336775e-05,0.999994825151871
both,23.0,0.000255,1.0984975e-05,0.9999944751756196
both,24.0,0.00019,1.0263900000000003e-05,0.9999948501512459
both,25.0,0.000145,1.0828975e-05,0.9999945751731195
both,26.0,0.00014000000000000001,1.1280400000000001e-05,0.9999943501562464
both,27.0,0.000305,1.2756975e-05,0.9999935752281167
both,28.0,0.00023999999999999998,1.2642400000000001e-05,0.9999936502262416
both,29.0,0.000255,1.3584975000000001e-05,0.9999931752531152
both,30.0,5.5e-05,1.2146975e-05,0.9999939251668712
both,31.0,8.500000000000002e-05,1.3442775000000001e-05,0.9999932752281172
both,32.0,0.000105,1.5138975e-05,0.9999924252568663
both,33.0,-9.999999999999996e-06,1.63999e-05,0.9999918002949891
both,34.0,-4.4999999999999996e-05,1.6847975e-05,0.9999915752856152
both,35.0,-2.499999999999999e-05,1.8049375e-05,0.9999909753081144
both,36.0,-5.500000000000002e-05,1.9846975000000003e-05,0.9999900753381135
both,37.0,-0.000195,1.9811975e-05,0.9999900753681109
both,38.0,-5.500000000000003e-05,2.0046975e-05,0.9999899753481127
both,39.0,7.000000000000002e-05,1.99951e-05,0.9999900003474876
both,40.0,7.000000000000001e-05,2.1695100000000002e-05,0.9999891504812205
both,41.0,0.00011999999999999996,2.1185600000000003e-05,0.999989400369987
both,42.0,0.00014,1.97804e-05,0.9999901003749815
both,43.0,-3.999999999999998e-05,2.14984e-05,0.9999892503962349
both,44.0,5.9999999999999995e-05,2.11964e-05,0.9999894003849819
both,45.0,4.999999999999999e-05,2.0297500000000003e-05,0.9999898503437383
both,46.0,6.999999999999998e-05,2.26951e-05,0.9999886504487278
both,47.0,0.000235,2.3394775e-05,0.9999882755180977
both,48.0,0.00019000000000000004,2.2563900000000006e-05,0.9999887004249833
both,49.0,0.00045,2.2497499999999996e-05,0.9999886504337291
both,50.0,0.0004,2.3140000000000005e-05,0.9999883504262339
both,51.0,0.00037,2.37631e-05,0.9999880504187351
both,52.0,0.000265,2.4079775e-05,0.9999879254293594
both,53.0,0.00040500000000000003,2.4485975e-05,0.9999876754431086
both,54.0,0.00044,2.63064e-05,0.9999867505337275
both,55.0,0.00040500000000000003,2.5785974999999995e-05,0.9999870255043546
both,56.0,0.000475,2.6224375e-05,0.999986775555597
both,57.0,0.00057,2.7075099999999998e-05,0.9999863006799588
both,58.0,0.000605,2.5883975000000007e-05,0.9999868755680995
both,59.0,0.00047999999999999996,2.6969600000000003e-05,0.9999864005424738
both,60.0,0.000555,2.7641975e-05,0.999986025619343
both,61.0,0.000555,2.8941974999999997e-05,0.9999853756805851
both,62.0,0.000665,2.8607774999999996e-05,0.9999854756555872
both,63.0,0.0006450000000000001,2.9233975000000003e-05,0.9999851757380845
both,64.0,0.000875,3.0384375e-05,0.9999844259892736
both,65.0,0.000625,2.9759375e-05,0.9999849256618449
both,66.0,0.00053,3.0519100000000004e-05,0.9999846007074593
both,67.0,0.000345,3.1230975000000005e-05,0.999984325714334
both,68.0,0.00018499999999999997,2.9715775e-05,0.9999851256193407
